"","Match.Number","Round.Number","Date","Location","HomeTeam","AwayTeam","homeWinPct","awayWinPct","homeDrawPct"
"67",62,7,"30-09-2017","Emirates Stadium","West Ham","Swansea",0.833333333333333,0.166666666666667,0
"68",70,7,"01-10-2017","London Stadium","Arsenal","Brighton",1,0,0
"69",63,7,"01-10-2017","Selhurst Park","Everton","Burnley",0.75,0.25,0
"70",65,7,"01-10-2017","Elland Road","Newcastle","Liverpool",0.434782608695652,0.304347826086957,0.260869565217391
"71",71,8,"14-10-2017","Villa Park","Burnley","West Ham",0.25,0.5,0.25
"72",78,8,"14-10-2017","The City Ground","Crystal Palace","Chelsea",0.25,0.75,0
"73",80,8,"14-10-2017","Molineux Stadium","Liverpool","Man United",0.32,0.44,0.24
"74",73,8,"14-10-2017","Amex Stadium","Man City","Spurs",0.8,0.1,0.1
"75",77,8,"14-10-2017","St. James' Park","Swansea","Huddersfield",1,0,0
"76",79,8,"14-10-2017","Tottenham Hotspur Stadium","Tottenham","Bournemouth",1,0,0
"77",72,8,"14-10-2017","Brentford Community Stadium","Watford","Arsenal",0.2,0.8,0
"78",76,8,"15-10-2017","Old Trafford","Brighton","Everton",0,0,1
"79",75,8,"15-10-2017","Goodison Park","Southampton","Newcastle",0.705882352941177,0.0588235294117647,0.235294117647059
"80",74,8,"16-10-2017","Stamford Bridge","Leicester","West Brom",0,0.5,0.5
"81",82,9,"20-10-2017","Emirates Stadium","West Ham","Brighton",0,1,0
"82",81,9,"21-10-2017","Vitality Stadium","Chelsea","Watford",0.8,0,0.2
"83",83,9,"21-10-2017","Selhurst Park","Huddersfield","Man United",1,0,0
"84",84,9,"21-10-2017","Craven Cottage","Man City","Burnley",0.5,0,0.5
"85",87,9,"21-10-2017","Anfield","Newcastle","Crystal Palace",0.571428571428571,0.142857142857143,0.285714285714286
"86",89,9,"21-10-2017","St. Mary's Stadium","Southampton","West Brom",0.5,0.25,0.25
"87",90,9,"21-10-2017","London Stadium","Spurs","Bournemouth",0.333333333333333,0.666666666666667,0
"88",88,9,"21-10-2017","Etihad Stadium","Swansea","Leicester",0.5,0.5,0
"89",85,9,"22-10-2017","Elland Road","Everton","Arsenal",0.24,0.48,0.28
"90",86,9,"22-10-2017","King Power Stadium","Tottenham","Liverpool",0.44,0.28,0.28
"91",91,10,"28-10-2017","Vitality Stadium","Arsenal","Swansea",0.428571428571429,0.428571428571429,0.142857142857143
"92",94,10,"28-10-2017","Stamford Bridge","Bournemouth","Chelsea",0,1,0
"93",97,10,"28-10-2017","Etihad Stadium","Crystal Palace","West Ham",0.285714285714286,0.428571428571429,0.285714285714286
"94",98,10,"28-10-2017","St. James' Park","Liverpool","Huddersfield",1,0,0
"95",93,10,"28-10-2017","Amex Stadium","Man United","Tottenham",0.8,0.08,0.12
"96",95,10,"28-10-2017","Selhurst Park","Watford","Spurs",0,1,0
"97",100,10,"28-10-2017","London Stadium","West Brom","Man City",0.25,0.666666666666667,0.0833333333333333
"98",92,10,"29-10-2017","Emirates Stadium","Brighton","Southampton",0,0,1
"99",96,10,"29-10-2017","Goodison Park","Leicester","Everton",0.25,0.25,0.5
"100",99,10,"30-10-2017","The City Ground","Burnley","Newcastle",0.5,0,0.5
"101",102,11,"04-11-2017","Brentford Community Stadium","Huddersfield","West Brom",1,0,0
"102",105,11,"04-11-2017","King Power Stadium","Newcastle","Bournemouth",0,1,0
"103",103,11,"04-11-2017","Craven Cottage","Southampton","Burnley",0.666666666666667,0.333333333333333,0
"104",110,11,"04-11-2017","Molineux Stadium","Spurs","Leicester",0,0.25,0.75
"105",109,11,"04-11-2017","Tottenham Hotspur Stadium","Swansea","Brighton",0,1,0
"106",101,11,"04-11-2017","Villa Park","West Ham","Liverpool",0.363636363636364,0.5,0.136363636363636
"107",104,11,"05-11-2017","Elland Road","Chelsea","Man United",0.48,0.2,0.32
"108",107,11,"05-11-2017","Old Trafford","Everton","Watford",0.8,0,0.2
"109",108,11,"05-11-2017","St. Mary's Stadium","Man City","Arsenal",0.35,0.5,0.15
"110",106,11,"05-11-2017","Anfield","Tottenham","Crystal Palace",0.5,0.125,0.375
"111",114,12,"18-11-2017","Amex Stadium","Arsenal","Tottenham",0.56,0.04,0.4
"112",117,12,"18-11-2017","Selhurst Park","Bournemouth","Huddersfield",1,0,0
"113",111,12,"18-11-2017","Vitality Stadium","Burnley","Swansea",0.333333333333333,0.666666666666667,0
"114",112,12,"18-11-2017","Emirates Stadium","Crystal Palace","Everton",0.125,0.5,0.375
"115",113,12,"18-11-2017","Brentford Community Stadium","Leicester","Man City",0.142857142857143,0.571428571428571,0.285714285714286
"116",118,12,"18-11-2017","St. James' Park","Liverpool","Southampton",0.555555555555556,0.166666666666667,0.277777777777778
"117",119,12,"18-11-2017","Anfield","Man United","Newcastle",0.608695652173913,0.0434782608695652,0.347826086956522
"118",120,12,"18-11-2017","Old Trafford","West Brom","Chelsea",0.25,0.666666666666667,0.0833333333333333
"119",115,12,"19-11-2017","Craven Cottage","Watford","West Ham",0.4,0.2,0.4
"120",116,12,"20-11-2017","King Power Stadium","Brighton","Spurs",0,0,1
"121",126,13,"24-11-2017","The City Ground","West Ham","Leicester",0.636363636363636,0.272727272727273,0.0909090909090909
"122",123,13,"25-11-2017","Goodison Park","Crystal Palace","Spurs",0.8,0,0.2
"123",125,13,"25-11-2017","Etihad Stadium","Liverpool","Chelsea",0.48,0.24,0.28
"124",122,13,"25-11-2017","Stamford Bridge","Man United","Brighton",1,0,0
"125",121,13,"25-11-2017","Villa Park","Newcastle","Watford",0.5,0.5,0
"126",124,13,"25-11-2017","Elland Road","Swansea","Bournemouth",0,0.333333333333333,0.666666666666667
"127",127,13,"25-11-2017","St. Mary's Stadium","Tottenham","West Brom",0.416666666666667,0.0833333333333333,0.5
"128",130,13,"26-11-2017","Molineux Stadium","Burnley","Arsenal",0,0.75,0.25
"129",128,13,"26-11-2017","Tottenham Hotspur Stadium","Huddersfield","Man City",0,1,0
"130",129,13,"26-11-2017","London Stadium","Southampton","Everton",0.555555555555556,0.166666666666667,0.277777777777778
"131",137,14,"28-11-2017","King Power Stadium","Brighton","Crystal Palace",0,0,1
"132",131,14,"28-11-2017","Vitality Stadium","Leicester","Tottenham",0.5,0.333333333333333,0.166666666666667
"133",133,14,"28-11-2017","Brentford Community Stadium","Watford","Man United",0.2,0.8,0
"134",134,14,"28-11-2017","Amex Stadium","West Brom","Newcastle",0.272727272727273,0.363636363636364,0.363636363636364
"135",135,14,"29-11-2017","Selhurst Park","Arsenal","Huddersfield",1,0,0
"136",140,14,"29-11-2017","St. James' Park","Bournemouth","Burnley",0.5,0.5,0
"137",136,14,"29-11-2017","Craven Cottage","Chelsea","Swansea",0.857142857142857,0,0.142857142857143
"138",138,14,"29-11-2017","Anfield","Everton","West Ham",0.636363636363636,0.136363636363636,0.227272727272727
"139",132,14,"29-11-2017","Emirates Stadium","Man City","Southampton",0.538461538461538,0.230769230769231,0.230769230769231
"140",139,14,"29-11-2017","Old Trafford","Spurs","Liverpool",0.4,0.4,0.2
"141",144,15,"02-12-2017","Elland Road","Arsenal","Man United",0.4,0.28,0.32
"142",145,15,"02-12-2017","Etihad Stadium","Brighton","Liverpool",0,1,0
"143",146,15,"02-12-2017","The City Ground","Chelsea","Newcastle",0.695652173913043,0.0434782608695652,0.260869565217391
"144",150,15,"02-12-2017","Molineux Stadium","Everton","Huddersfield",1,0,0
"145",143,15,"02-12-2017","Goodison Park","Leicester","Burnley",0.666666666666667,0,0.333333333333333
