"","Match.Number","Round.Number","Date","Location","HomeTeam","AwayTeam","homeWinPct","awayWinPct","homeDrawPct"
"285",285,29,"03-03-2018","Selhurst Park","Swansea","West Ham",0.333333333333333,0.166666666666667,0.5
"286",286,29,"03-03-2018","Goodison Park","Tottenham","Huddersfield",1,0,0
"287",287,29,"03-03-2018","Etihad Stadium","Watford","West Brom",0.666666666666667,0,0.333333333333333
"288",288,29,"04-03-2018","St. James' Park","Brighton","Arsenal",1,0,0
"289",289,29,"04-03-2018","The City Ground","Man City","Chelsea",0.35,0.55,0.1
"290",290,29,"05-03-2018","London Stadium","Crystal Palace","Man United",0,0.625,0.375
"291",291,30,"10-03-2018","Villa Park","Chelsea","Crystal Palace",0.625,0.25,0.125
"292",292,30,"10-03-2018","Brentford Community Stadium","Everton","Brighton",1,0,0
"293",293,30,"10-03-2018","Craven Cottage","Huddersfield","Swansea",0,0,1
"294",294,30,"10-03-2018","Elland Road","Man United","Liverpool",0.64,0.2,0.16
"295",295,30,"10-03-2018","King Power Stadium","Newcastle","Southampton",0.647058823529412,0.176470588235294,0.176470588235294
"296",296,30,"10-03-2018","Anfield","West Brom","Leicester",0,1,0
"297",297,30,"10-03-2018","Old Trafford","West Ham","Burnley",0.75,0.25,0
"298",298,30,"11-03-2018","St. Mary's Stadium","Arsenal","Watford",0.8,0.2,0
"299",299,30,"11-03-2018","Tottenham Hotspur Stadium","Bournemouth","Tottenham",0,0.666666666666667,0.333333333333333
"300",300,30,"12-03-2018","Molineux Stadium","Spurs","Man City",0.2,0.3,0.5
"301",301,31,"17-03-2018","Villa Park","Bournemouth","West Brom",0.666666666666667,0,0.333333333333333
"302",302,31,"17-03-2018","Stamford Bridge","Huddersfield","Crystal Palace",0,1,0
"303",303,31,"17-03-2018","Goodison Park","Liverpool","Watford",0.8,0.2,0
"304",304,31,"17-03-2018","Elland Road","Spurs","Everton",0.2,0.3,0.5
"305",305,31,"31-03-2018","Etihad Stadium","Brighton","Leicester",0,1,0
"306",306,31,"31-03-2018","The City Ground","Crystal Palace","Liverpool",0.25,0.625,0.125
"307",307,31,"31-03-2018","St. Mary's Stadium","Everton","Man City",0.55,0.2,0.25
"308",308,31,"31-03-2018","Tottenham Hotspur Stadium","Man United","Swansea",0.714285714285714,0.142857142857143,0.142857142857143
"309",309,31,"31-03-2018","London Stadium","Newcastle","Huddersfield",1,0,0
"310",310,31,"31-03-2018","Molineux Stadium","Watford","Bournemouth",0,0,1
"311",311,32,"31-03-2018","Vitality Stadium","West Brom","Burnley",0.666666666666667,0.333333333333333,0
"312",312,32,"31-03-2018","Emirates Stadium","West Ham","Southampton",0.6875,0.25,0.0625
"313",313,32,"01-04-2018","Brentford Community Stadium","Arsenal","Spurs",1,0,0
"314",314,32,"01-04-2018","Amex Stadium","Chelsea","Tottenham",0.64,0.04,0.32
"315",315,32,"07-04-2018","Selhurst Park","Bournemouth","Crystal Palace",0,0.333333333333333,0.666666666666667
"316",316,32,"07-04-2018","Craven Cottage","Brighton","Huddersfield",0,0,1
"317",317,32,"07-04-2018","King Power Stadium","Everton","Liverpool",0.24,0.4,0.36
"318",318,32,"07-04-2018","Anfield","Leicester","Newcastle",0.363636363636364,0.272727272727273,0.363636363636364
"319",319,32,"07-04-2018","Old Trafford","Man City","Man United",0.35,0.55,0.1
"320",320,32,"07-04-2018","St. James' Park","Spurs","Tottenham",0.3,0.7,0
"321",321,33,"07-04-2018","Goodison Park","Watford","Burnley",0.5,0.5,0
"322",322,33,"07-04-2018","Elland Road","West Brom","Swansea",0.428571428571429,0.285714285714286,0.285714285714286
"323",323,33,"08-04-2018","The City Ground","Arsenal","Southampton",0.722222222222222,0,0.277777777777778
"324",324,33,"08-04-2018","Tottenham Hotspur Stadium","Chelsea","West Ham",0.590909090909091,0.181818181818182,0.227272727272727
"325",325,33,"14-04-2018","London Stadium","Burnley","Leicester",0.666666666666667,0.333333333333333,0
"326",326,33,"14-04-2018","Molineux Stadium","Crystal Palace","Brighton",1,0,0
"327",327,33,"14-04-2018","Villa Park","Huddersfield","Watford",1,0,0
"328",328,33,"14-04-2018","Stamford Bridge","Liverpool","Bournemouth",0.666666666666667,0,0.333333333333333
"329",329,33,"14-04-2018","St. Mary's Stadium","Southampton","Chelsea",0.222222222222222,0.611111111111111,0.166666666666667
"330",330,33,"14-04-2018","Etihad Stadium","Swansea","Everton",0.142857142857143,0.428571428571429,0.428571428571429
"331",331,34,"14-04-2018","Vitality Stadium","Tottenham","Man City",0.6,0.25,0.15
"332",332,34,"15-04-2018","Emirates Stadium","Man United","West Brom",0.5,0.25,0.25
"333",333,34,"15-04-2018","Brentford Community Stadium","Newcastle","Arsenal",0.260869565217391,0.391304347826087,0.347826086956522
"334",334,34,"16-04-2018","Amex Stadium","West Ham","Spurs",0.222222222222222,0.222222222222222,0.555555555555556
"335",335,34,"17-04-2018","Selhurst Park","Brighton","Tottenham",0,0,1
"336",336,34,"18-04-2018","Craven Cottage","Bournemouth","Man United",0.333333333333333,0.666666666666667,0
"337",337,34,"19-04-2018","King Power Stadium","Burnley","Chelsea",0,0.75,0.25
"338",338,34,"19-04-2018","Anfield","Leicester","Southampton",0.583333333333333,0.0833333333333333,0.333333333333333
"339",339,34,"21-04-2018","Old Trafford","Watford","Crystal Palace",0,0.333333333333333,0.666666666666667
"340",340,34,"21-04-2018","St. James' Park","West Brom","Liverpool",0.166666666666667,0.5,0.333333333333333
"341",341,35,"22-04-2018","Vitality Stadium","Arsenal","West Ham",0.727272727272727,0.227272727272727,0.0454545454545455
"342",342,35,"22-04-2018","Amex Stadium","Man City","Swansea",1,0,0
"343",343,35,"22-04-2018","Craven Cottage","Spurs","Burnley",0.5,0.25,0.25
"344",344,35,"23-04-2018","Anfield","Everton","Newcastle",0.565217391304348,0.217391304347826,0.217391304347826
"345",345,35,"28-04-2018","Etihad Stadium","Burnley","Brighton",0,0,1
"346",346,35,"28-04-2018","St. James' Park","Crystal Palace","Leicester",0.5,0.333333333333333,0.166666666666667
"347",347,35,"28-04-2018","The City Ground","Huddersfield","Everton",0,1,0
"348",348,35,"28-04-2018","Tottenham Hotspur Stadium","Liverpool","Spurs",0.6,0,0.4
"349",349,35,"28-04-2018","London Stadium","Newcastle","West Brom",0.636363636363636,0.181818181818182,0.181818181818182
"350",350,35,"28-04-2018","Molineux Stadium","Southampton","Bournemouth",0.666666666666667,0,0.333333333333333
"351",351,36,"28-04-2018","Emirates Stadium","Swansea","Chelsea",0.142857142857143,0.428571428571429,0.428571428571429
"352",352,36,"29-04-2018","Villa Park","Man United","Arsenal",0.64,0.12,0.24
"353",353,36,"29-04-2018","Brentford Community Stadium","West Ham","Man City",0.411764705882353,0.352941176470588,0.235294117647059
"354",354,36,"30-04-2018","Stamford Bridge","Tottenham","Watford",1,0,0
"355",355,36,"04-05-2018","Selhurst Park","Brighton","Man United",1,0,0
"356",356,36,"05-05-2018","Goodison Park","Bournemouth","Swansea",1,0,0
"357",357,36,"05-05-2018","Elland Road","Everton","Southampton",0.666666666666667,0.0555555555555556,0.277777777777778
"358",358,36,"05-05-2018","King Power Stadium","Leicester","West Ham",0.363636363636364,0.363636363636364,0.272727272727273
"359",359,36,"05-05-2018","Old Trafford","Spurs","Crystal Palace",0.4,0.6,0
"360",360,36,"05-05-2018","St. Mary's Stadium","Watford","Newcastle",0.5,0,0.5
"361",361,37,"05-05-2018","Vitality Stadium","West Brom","Tottenham",0.25,0.333333333333333,0.416666666666667
"362",362,37,"06-05-2018","Amex Stadium","Arsenal","Burnley",1,0,0
"363",363,37,"06-05-2018","Craven Cottage","Chelsea","Liverpool",0.56,0.24,0.2
"364",364,37,"06-05-2018","Anfield","Man City","Huddersfield",0,0,1
"365",365,37,"08-05-2018","Etihad Stadium","Swansea","Southampton",0.166666666666667,0.666666666666667,0.166666666666667
"366",366,37,"09-05-2018","St. James' Park","Chelsea","Huddersfield",0,0,1
"367",367,37,"09-05-2018","The City Ground","Leicester","Arsenal",0.166666666666667,0.333333333333333,0.5
"368",368,37,"09-05-2018","Tottenham Hotspur Stadium","Man City","Brighton",1,0,0
"369",369,37,"09-05-2018","London Stadium","Tottenham","Newcastle",0.565217391304348,0.391304347826087,0.0434782608695652
"370",370,37,"10-05-2018","Molineux Stadium","West Ham","Man United",0.136363636363636,0.409090909090909,0.454545454545455
"371",371,38,"13-05-2018","Emirates Stadium","Burnley","Bournemouth",0.5,0.5,0
"372",372,38,"13-05-2018","Villa Park","Crystal Palace","West Brom",0.666666666666667,0.333333333333333,0
"373",373,38,"13-05-2018","Brentford Community Stadium","Huddersfield","Arsenal",0,1,0
"374",374,38,"13-05-2018","Stamford Bridge","Liverpool","Brighton",1,0,0
"375",375,38,"13-05-2018","Selhurst Park","Man United","Watford",1,0,0
"376",376,38,"13-05-2018","Goodison Park","Newcastle","Chelsea",0.478260869565217,0.260869565217391,0.260869565217391
"377",377,38,"13-05-2018","Elland Road","Southampton","Man City",0.230769230769231,0.461538461538462,0.307692307692308
"378",378,38,"13-05-2018","King Power Stadium","Swansea","Spurs",0.571428571428571,0.285714285714286,0.142857142857143
"379",379,38,"13-05-2018","Old Trafford","Tottenham","Leicester",0.416666666666667,0.333333333333333,0.25
"380",380,38,"13-05-2018","St. Mary's Stadium","West Ham","Everton",0.227272727272727,0.454545454545455,0.318181818181818
