,Team1,Team2,HomeWin,AwayWin,HomeDraw,AwayDraw
99,Aston Villa,Huddersfield,0,0,0,0
100,Chelsea,Arsenal,0.44,0.2,0.28,0.36
101,Chelsea,Aston Villa,0.61,0.39,0.22,0.3
102,Chelsea,Chelsea,0,0,0,0
103,Chelsea,Liverpool,0.56,0.24,0.2,0.28
104,Chelsea,Man City,0.6,0.55,0.25,0.1
105,Chelsea,Newcastle,0.7,0.26,0.26,0.26
106,Chelsea,Oldham,0,0,0,0
107,Chelsea,Sheffield United,1,0.5,0,0
108,Chelsea,Southampton,0.61,0.61,0.22,0.17
109,Chelsea,West Ham,0.59,0.5,0.23,0.14
110,Chelsea,Norwich,0.71,0.57,0.14,0.29
111,Chelsea,Tottenham,0.64,0.4,0.32,0.4
112,Chelsea,Everton,0.56,0.36,0.4,0.32
113,Chelsea,Ipswich,0.75,0,0.25,0.75
114,Chelsea,Leeds,0.45,0.18,0.36,0.27
115,Chelsea,Wimbledon,0.43,0.57,0.29,0.43
116,Chelsea,Blackburn,0.41,0.53,0.29,0.18
117,Chelsea,Coventry,0.62,0,0.25,0.5
118,Chelsea,Man United,0.48,0.24,0.32,0.4
119,Chelsea,QPR,0.67,0.33,0.17,0.33
120,Chelsea,Sheffield Weds,0.29,0.29,0.71,0.43
121,Chelsea,Swindon,1,1,0,0
122,Chelsea,Crystal Palace,0.62,0.75,0.12,0
123,Chelsea,Leicester,0.58,0.58,0.33,0.17
124,Chelsea,Nottingham Forest,0.5,0.5,0.25,0.25
125,Chelsea,Bolton,0.69,0.69,0.23,0.15
126,Chelsea,Middlesbrough,0.77,0.54,0.23,0.08
127,Chelsea,Derby,1,0.43,0,0.29
128,Chelsea,Sunderland,0.81,0.62,0,0.12
129,Chelsea,Barnsley,1,1,0,0
130,Chelsea,Charlton,0.62,0.62,0.12,0
131,Chelsea,Watford,0.8,0.4,0.2,0.2
132,Chelsea,Bradford,1,0,0,0.5
133,Chelsea,Fulham,0.62,0.54,0.38,0.38
134,Chelsea,Birmingham,0.71,0.43,0.29,0.43
135,Chelsea,Middlesboro,1,0,0,1
136,Chelsea,West Brom,0.83,0.67,0.17,0.08
137,Chelsea,Portsmouth,1,0.86,0,0.14
138,Chelsea,Wolves,1,0.75,0,0
139,Chelsea,Wigan,0.88,0.75,0.12,0.12
140,Chelsea,Reading,0.67,0.67,0.33,0.33
141,Chelsea,Hull,0.8,0.8,0.2,0.2
142,Chelsea,Stoke,0.9,0.6,0.1,0.2
143,Chelsea,Burnley,0.5,0.75,0.25,0.25
144,Chelsea,Blackpool,1,1,0,0
145,Chelsea,Swansea,0.86,0.43,0.14,0.43
146,Chelsea,Cardiff,1,1,0,0
147,Chelsea,Bournemouth,0.33,1,0,0
148,Chelsea,Brighton,1,1,0,0
149,Chelsea,Huddersfield,0,1,1,0
150,Liverpool,Arsenal,0.48,0.24,0.32,0.4
151,Liverpool,Aston Villa,0.57,0.57,0.22,0.22
152,Liverpool,Chelsea,0.48,0.24,0.28,0.2
153,Liverpool,Liverpool,0,0,0,0
154,Liverpool,Man City,0.75,0.2,0.2,0.45
155,Liverpool,Newcastle,0.78,0.3,0.17,0.26
156,Liverpool,Oldham,1,1,0,0
157,Liverpool,Sheffield United,0.5,0,0,1
158,Liverpool,Southampton,0.56,0.44,0.28,0.22
159,Liverpool,West Ham,0.68,0.5,0.27,0.14
160,Liverpool,Norwich,0.57,0.86,0.29,0.14
161,Liverpool,Tottenham,0.6,0.28,0.32,0.28
162,Liverpool,Everton,0.44,0.4,0.48,0.36
163,Liverpool,Ipswich,0.5,0.75,0,0.25
164,Liverpool,Leeds,0.64,0.55,0.09,0.18
165,Liverpool,Wimbledon,0.57,0.14,0.43,0.43
166,Liverpool,Blackburn,0.59,0.35,0.35,0.35
167,Liverpool,Coventry,0.62,0.38,0.12,0.25
168,Liverpool,Man United,0.32,0.2,0.24,0.16
169,Liverpool,QPR,0.83,0.67,0.17,0
170,Liverpool,Sheffield Weds,0.86,0.29,0,0.43
171,Liverpool,Swindon,0,1,1,0
172,Liverpool,Crystal Palace,0.5,0.62,0.12,0.12
173,Liverpool,Leicester,0.58,0.42,0.17,0.25
174,Liverpool,Nottingham Forest,1,0,0,0.75
175,Liverpool,Bolton,0.92,0.46,0.08,0.23
176,Liverpool,Middlesbrough,0.77,0.23,0.23,0.38
177,Liverpool,Derby,0.71,0.71,0.14,0
178,Liverpool,Sunderland,0.5,0.62,0.5,0.19
179,Liverpool,Barnsley,0,1,0,0
180,Liverpool,Charlton,0.5,0.5,0.38,0
181,Liverpool,Watford,0.8,0.6,0,0.2
182,Liverpool,Bradford,1,0.5,0,0
183,Liverpool,Fulham,0.62,0.62,0.31,0
184,Liverpool,Birmingham,0.29,0.14,0.57,0.57
185,Liverpool,Middlesboro,0,0,1,0
186,Liverpool,West Brom,0.67,0.5,0.17,0.33
187,Liverpool,Portsmouth,0.71,0.43,0.29,0.14
188,Liverpool,Wolves,0.75,0.5,0,0.5
189,Liverpool,Wigan,0.62,0.5,0.25,0.38
190,Liverpool,Reading,1,0.33,0,0.33
191,Liverpool,Hull,0.6,0.2,0.4,0.2
192,Liverpool,Stoke,0.6,0.4,0.4,0.2
193,Liverpool,Burnley,0.75,0.75,0.25,0
194,Liverpool,Blackpool,0,0,0,0
195,Liverpool,Swansea,0.71,0.29,0.14,0.29
196,Liverpool,Cardiff,1,1,0,0
197,Liverpool,Bournemouth,0.67,0.67,0.33,0
198,Liverpool,Brighton,1,1,0,0
199,Liverpool,Huddersfield,1,1,0,0
200,Man City,Arsenal,0.35,0.1,0.15,0.35
201,Man City,Aston Villa,0.83,0.39,0.06,0.39
202,Man City,Chelsea,0.35,0.15,0.1,0.25
203,Man City,Liverpool,0.35,0.05,0.45,0.2
204,Man City,Man City,0,0,0,0
205,Man City,Newcastle,0.72,0.5,0.22,0.17
206,Man City,Oldham,0,0,1,1
207,Man City,Sheffield United,0,1,1,0
208,Man City,Southampton,0.54,0.46,0.23,0.31
209,Man City,West Ham,0.76,0.35,0.12,0.24
210,Man City,Norwich,0.57,0.43,0.29,0.57
211,Man City,Tottenham,0.4,0.25,0.15,0.15
212,Man City,Everton,0.5,0.2,0.2,0.25
213,Man City,Ipswich,0.67,0.33,0,0.33
214,Man City,Leeds,0.17,0.33,0.67,0
215,Man City,Wimbledon,0.67,0,0,0
216,Man City,Blackburn,0.23,0.38,0.54,0.15
217,Man City,Coventry,0,0,0.75,0.25
218,Man City,Man United,0.35,0.3,0.1,0.25
219,Man City,QPR,0.83,0.33,0,0.5
220,Man City,Sheffield Weds,0.67,0,0,1
221,Man City,Swindon,1,1,0,0
222,Man City,Crystal Palace,0.86,0.57,0.14,0.14
223,Man City,Leicester,0.43,0.57,0,0.29
224,Man City,Nottingham Forest,0,0,1,0
225,Man City,Bolton,0.73,0.36,0,0.36
226,Man City,Middlesbrough,0.33,0.11,0.33,0.33
227,Man City,Derby,0.5,0,0.5,1
228,Man City,Sunderland,0.85,0.54,0.15,0.08
229,Man City,Barnsley,0,0,0,0
230,Man City,Charlton,0.33,0.33,0.33,0.33
231,Man City,Watford,0.75,0.75,0.25,0.25
232,Man City,Bradford,1,0,0,1
233,Man City,Fulham,0.42,0.5,0.33,0.42
234,Man City,Birmingham,0.71,0.29,0.29,0.29
235,Man City,Middlesboro,0,0,1,0
236,Man City,West Brom,0.75,0.67,0.17,0.08
237,Man City,Portsmouth,0.71,0.29,0.29,0.14
238,Man City,Wolves,0.75,0.5,0.25,0
239,Man City,Wigan,0.62,0.38,0.12,0.25
240,Man City,Reading,0.67,0.33,0,0
241,Man City,Hull,0.6,0.6,0.4,0.2
242,Man City,Stoke,0.8,0.3,0.1,0.5
243,Man City,Burnley,0.5,0.5,0.5,0.25
244,Man City,Blackpool,1,1,0,0
245,Man City,Swansea,1,0.57,0,0.29
246,Man City,Cardiff,1,0,0,0
247,Man City,Bournemouth,1,1,0,0
248,Man City,Brighton,1,1,0,0
249,Man City,Huddersfield,0,1,1,0
250,Newcastle,Arsenal,0.26,0.17,0.35,0.09
251,Newcastle,Aston Villa,0.64,0.36,0.27,0.36
252,Newcastle,Chelsea,0.48,0.04,0.26,0.26
253,Newcastle,Liverpool,0.43,0.04,0.26,0.17
254,Newcastle,Man City,0.33,0.06,0.17,0.22
255,Newcastle,Newcastle,0,0,0,0
256,Newcastle,Oldham,1,1,0,0
257,Newcastle,Sheffield United,0.5,0.5,0,0
258,Newcastle,Southampton,0.65,0.06,0.18,0.24
259,Newcastle,West Ham,0.55,0.4,0.3,0.2
260,Newcastle,Norwich,0.86,0.14,0.14,0.29
261,Newcastle,Tottenham,0.52,0.39,0.22,0.04
262,Newcastle,Everton,0.52,0.22,0.17,0.22
263,Newcastle,Ipswich,0.5,0.5,0.5,0.25
264,Newcastle,Leeds,0.45,0.55,0.27,0.27
265,Newcastle,Wimbledon,0.71,0,0.14,0.57
266,Newcastle,Blackburn,0.38,0.19,0.25,0.31
267,Newcastle,Coventry,0.88,0.38,0.12,0.25
268,Newcastle,Man United,0.22,0.04,0.26,0.35
269,Newcastle,QPR,0.83,0.5,0,0.17
270,Newcastle,Sheffield Weds,0.71,0.43,0.14,0.43
271,Newcastle,Swindon,1,0,0,1
272,Newcastle,Crystal Palace,0.57,0.57,0.29,0.29
273,Newcastle,Leicester,0.64,0.27,0.09,0.36
274,Newcastle,Nottingham Forest,1,0.25,0,0.75
