"","Match.Number","Round.Number","Date","Location","HomeTeam","AwayTeam","homeWinPct","awayWinPct","homeDrawPct","homeOdds","awayOdds","drawOdds"
"56",59,6,"23-09-2017","Tottenham Hotspur Stadium","Spurs","Chelsea",0.3,0.4,0.3,3.33,2.5,3.33
"57",60,6,"23-09-2017","Molineux Stadium","Swansea","Watford",0.33,0.33,0.33,3.03,3.03,3.03
"58",51,6,"23-09-2017","Villa Park","West Ham","Tottenham",0.36,0.35,0.28,2.78,2.86,3.57
"59",53,6,"24-09-2017","Amex Stadium","Brighton","Newcastle",0.5,0.25,0.25,2,4,4
"60",56,6,"25-09-2017","Old Trafford","Arsenal","West Brom",0.46,0.27,0.27,2.17,3.7,3.7
"61",64,7,"30-09-2017","Craven Cottage","Bournemouth","Leicester",0.33,0.25,0.42,3.03,4,2.38
"62",61,7,"30-09-2017","Vitality Stadium","Chelsea","Man City",0.4,0.29,0.31,2.5,3.45,3.23
"63",66,7,"30-09-2017","King Power Stadium","Huddersfield","Tottenham",0.25,0.5,0.25,4,2,4
"64",67,7,"30-09-2017","Anfield","Man United","Crystal Palace",0.5,0.25,0.25,2,4,4
"65",69,7,"30-09-2017","St. Mary's Stadium","Spurs","Southampton",0.33,0.29,0.38,3.03,3.45,2.63
"66",68,7,"30-09-2017","Etihad Stadium","West Brom","Watford",0.33,0.33,0.33,3.03,3.03,3.03
"67",62,7,"30-09-2017","Emirates Stadium","West Ham","Swansea",0.46,0.29,0.25,2.17,3.45,4
"68",70,7,"01-10-2017","London Stadium","Arsenal","Brighton",0.5,0.25,0.25,2,4,4
"69",63,7,"01-10-2017","Selhurst Park","Everton","Burnley",0.44,0.31,0.25,2.27,3.23,4
"70",65,7,"01-10-2017","Elland Road","Newcastle","Liverpool",0.36,0.33,0.32,2.78,3.03,3.12
"71",71,8,"14-10-2017","Villa Park","Burnley","West Ham",0.31,0.38,0.31,3.23,2.63,3.23
"72",78,8,"14-10-2017","The City Ground","Crystal Palace","Chelsea",0.31,0.44,0.25,3.23,2.27,4
"73",80,8,"14-10-2017","Molineux Stadium","Liverpool","Man United",0.33,0.36,0.31,3.03,2.78,3.23
"74",73,8,"14-10-2017","Amex Stadium","Man City","Spurs",0.45,0.28,0.28,2.22,3.57,3.57
"75",77,8,"14-10-2017","St. James' Park","Swansea","Huddersfield",0.5,0.25,0.25,2,4,4
"76",79,8,"14-10-2017","Tottenham Hotspur Stadium","Tottenham","Bournemouth",0.5,0.25,0.25,2,4,4
"77",72,8,"14-10-2017","Brentford Community Stadium","Watford","Arsenal",0.3,0.45,0.25,3.33,2.22,4
"78",76,8,"15-10-2017","Old Trafford","Brighton","Everton",0.25,0.25,0.5,4,4,2
"79",75,8,"15-10-2017","Goodison Park","Southampton","Newcastle",0.43,0.26,0.31,2.33,3.85,3.23
"80",74,8,"16-10-2017","Stamford Bridge","Leicester","West Brom",0.25,0.38,0.38,4,2.63,2.63
"81",82,9,"20-10-2017","Emirates Stadium","West Ham","Brighton",0.25,0.5,0.25,4,2,4
"82",81,9,"21-10-2017","Vitality Stadium","Chelsea","Watford",0.45,0.25,0.3,2.22,4,3.33
"83",83,9,"21-10-2017","Selhurst Park","Huddersfield","Man United",0.5,0.25,0.25,2,4,4
"84",84,9,"21-10-2017","Craven Cottage","Man City","Burnley",0.38,0.25,0.38,2.63,4,2.63
"85",87,9,"21-10-2017","Anfield","Newcastle","Crystal Palace",0.39,0.29,0.32,2.56,3.45,3.12
"86",89,9,"21-10-2017","St. Mary's Stadium","Southampton","West Brom",0.38,0.31,0.31,2.63,3.23,3.23
"87",90,9,"21-10-2017","London Stadium","Spurs","Bournemouth",0.33,0.42,0.25,3.03,2.38,4
"88",88,9,"21-10-2017","Etihad Stadium","Swansea","Leicester",0.38,0.38,0.25,2.63,2.63,4
"89",85,9,"22-10-2017","Elland Road","Everton","Arsenal",0.31,0.37,0.32,3.23,2.7,3.12
"90",86,9,"22-10-2017","King Power Stadium","Tottenham","Liverpool",0.36,0.32,0.32,2.78,3.12,3.12
"91",91,10,"28-10-2017","Vitality Stadium","Arsenal","Swansea",0.36,0.36,0.29,2.78,2.78,3.45
"92",94,10,"28-10-2017","Stamford Bridge","Bournemouth","Chelsea",0.25,0.5,0.25,4,2,4
"93",97,10,"28-10-2017","Etihad Stadium","Crystal Palace","West Ham",0.32,0.36,0.32,3.12,2.78,3.12
"94",98,10,"28-10-2017","St. James' Park","Liverpool","Huddersfield",0.5,0.25,0.25,2,4,4
"95",93,10,"28-10-2017","Amex Stadium","Man United","Tottenham",0.45,0.27,0.28,2.22,3.7,3.57
"96",95,10,"28-10-2017","Selhurst Park","Watford","Spurs",0.25,0.5,0.25,4,2,4
"97",100,10,"28-10-2017","London Stadium","West Brom","Man City",0.31,0.42,0.27,3.23,2.38,3.7
"98",92,10,"29-10-2017","Emirates Stadium","Brighton","Southampton",0.25,0.25,0.5,4,4,2
"99",96,10,"29-10-2017","Goodison Park","Leicester","Everton",0.31,0.31,0.38,3.23,3.23,2.63
"100",99,10,"30-10-2017","The City Ground","Burnley","Newcastle",0.38,0.25,0.38,2.63,4,2.63
"101",102,11,"04-11-2017","Brentford Community Stadium","Huddersfield","West Brom",0.5,0.25,0.25,2,4,4
"102",105,11,"04-11-2017","King Power Stadium","Newcastle","Bournemouth",0.25,0.5,0.25,4,2,4
"103",103,11,"04-11-2017","Craven Cottage","Southampton","Burnley",0.42,0.33,0.25,2.38,3.03,4
"104",110,11,"04-11-2017","Molineux Stadium","Spurs","Leicester",0.25,0.31,0.44,4,3.23,2.27
"105",109,11,"04-11-2017","Tottenham Hotspur Stadium","Swansea","Brighton",0.25,0.5,0.25,4,2,4
"106",101,11,"04-11-2017","Villa Park","West Ham","Liverpool",0.34,0.38,0.28,2.94,2.63,3.57
"107",104,11,"05-11-2017","Elland Road","Chelsea","Man United",0.37,0.3,0.33,2.7,3.33,3.03
"108",107,11,"05-11-2017","Old Trafford","Everton","Watford",0.45,0.25,0.3,2.22,4,3.33
"109",108,11,"05-11-2017","St. Mary's Stadium","Man City","Arsenal",0.34,0.38,0.29,2.94,2.63,3.45
"110",106,11,"05-11-2017","Anfield","Tottenham","Crystal Palace",0.38,0.28,0.34,2.63,3.57,2.94
"111",114,12,"18-11-2017","Amex Stadium","Arsenal","Tottenham",0.39,0.26,0.35,2.56,3.85,2.86
"112",117,12,"18-11-2017","Selhurst Park","Bournemouth","Huddersfield",0.5,0.25,0.25,2,4,4
"113",111,12,"18-11-2017","Vitality Stadium","Burnley","Swansea",0.33,0.42,0.25,3.03,2.38,4
"114",112,12,"18-11-2017","Emirates Stadium","Crystal Palace","Everton",0.28,0.38,0.34,3.57,2.63,2.94
"115",113,12,"18-11-2017","Brentford Community Stadium","Leicester","Man City",0.29,0.39,0.32,3.45,2.56,3.12
"116",118,12,"18-11-2017","St. James' Park","Liverpool","Southampton",0.39,0.29,0.32,2.56,3.45,3.12
"117",119,12,"18-11-2017","Anfield","Man United","Newcastle",0.4,0.26,0.34,2.5,3.85,2.94
"118",120,12,"18-11-2017","Old Trafford","West Brom","Chelsea",0.31,0.42,0.27,3.23,2.38,3.7
"119",115,12,"19-11-2017","Craven Cottage","Watford","West Ham",0.35,0.3,0.35,2.86,3.33,2.86
"120",116,12,"20-11-2017","King Power Stadium","Brighton","Spurs",0.25,0.25,0.5,4,4,2
"121",126,13,"24-11-2017","The City Ground","West Ham","Leicester",0.41,0.32,0.27,2.44,3.12,3.7
"122",123,13,"25-11-2017","Goodison Park","Crystal Palace","Spurs",0.45,0.25,0.3,2.22,4,3.33
"123",125,13,"25-11-2017","Etihad Stadium","Liverpool","Chelsea",0.37,0.31,0.32,2.7,3.23,3.12
"124",122,13,"25-11-2017","Stamford Bridge","Man United","Brighton",0.5,0.25,0.25,2,4,4
"125",121,13,"25-11-2017","Villa Park","Newcastle","Watford",0.38,0.38,0.25,2.63,2.63,4
"126",124,13,"25-11-2017","Elland Road","Swansea","Bournemouth",0.25,0.33,0.42,4,3.03,2.38
"127",127,13,"25-11-2017","St. Mary's Stadium","Tottenham","West Brom",0.35,0.27,0.38,2.86,3.7,2.63
"128",130,13,"26-11-2017","Molineux Stadium","Burnley","Arsenal",0.25,0.44,0.31,4,2.27,3.23
"129",128,13,"26-11-2017","Tottenham Hotspur Stadium","Huddersfield","Man City",0.25,0.5,0.25,4,2,4
"130",129,13,"26-11-2017","London Stadium","Southampton","Everton",0.39,0.29,0.32,2.56,3.45,3.12
"131",137,14,"28-11-2017","King Power Stadium","Brighton","Crystal Palace",0.25,0.25,0.5,4,4,2
"132",131,14,"28-11-2017","Vitality Stadium","Leicester","Tottenham",0.38,0.33,0.29,2.63,3.03,3.45
"133",133,14,"28-11-2017","Brentford Community Stadium","Watford","Man United",0.3,0.45,0.25,3.33,2.22,4
"134",134,14,"28-11-2017","Amex Stadium","West Brom","Newcastle",0.32,0.34,0.34,3.12,2.94,2.94
"135",135,14,"29-11-2017","Selhurst Park","Arsenal","Huddersfield",0.5,0.25,0.25,2,4,4
"136",140,14,"29-11-2017","St. James' Park","Bournemouth","Burnley",0.38,0.38,0.25,2.63,2.63,4
"137",136,14,"29-11-2017","Craven Cottage","Chelsea","Swansea",0.46,0.25,0.29,2.17,4,3.45
"138",138,14,"29-11-2017","Anfield","Everton","West Ham",0.41,0.28,0.31,2.44,3.57,3.23
"139",132,14,"29-11-2017","Emirates Stadium","Man City","Southampton",0.38,0.31,0.31,2.63,3.23,3.23
"140",139,14,"29-11-2017","Old Trafford","Spurs","Liverpool",0.35,0.35,0.3,2.86,2.86,3.33
"141",144,15,"02-12-2017","Elland Road","Arsenal","Man United",0.35,0.32,0.33,2.86,3.12,3.03
"142",145,15,"02-12-2017","Etihad Stadium","Brighton","Liverpool",0.25,0.5,0.25,4,2,4
"143",146,15,"02-12-2017","The City Ground","Chelsea","Newcastle",0.42,0.26,0.32,2.38,3.85,3.12
"144",150,15,"02-12-2017","Molineux Stadium","Everton","Huddersfield",0.5,0.25,0.25,2,4,4
"145",143,15,"02-12-2017","Goodison Park","Leicester","Burnley",0.42,0.25,0.33,2.38,4,3.03
"146",142,15,"02-12-2017","Stamford Bridge","Spurs","Swansea",0.43,0.25,0.32,2.33,4,3.12
"147",141,15,"02-12-2017","Villa Park","Watford","Tottenham",0.25,0.35,0.4,4,2.86,2.5
"148",147,15,"02-12-2017","St. Mary's Stadium","West Brom","Crystal Palace",0.33,0.29,0.38,3.03,3.45,2.63
"149",149,15,"03-12-2017","London Stadium","Bournemouth","Southampton",0.33,0.33,0.33,3.03,3.03,3.03
"150",148,15,"03-12-2017","Tottenham Hotspur Stadium","Man City","West Ham",0.44,0.28,0.28,2.27,3.57,3.57
"151",155,16,"09-12-2017","Etihad Stadium","Burnley","Watford",0.5,0.25,0.25,2,4,4
"152",151,16,"09-12-2017","Vitality Stadium","Crystal Palace","Bournemouth",0.25,0.33,0.42,4,3.03,2.38
"153",154,16,"09-12-2017","Anfield","Huddersfield","Brighton",0.5,0.25,0.25,2,4,4
"154",157,16,"09-12-2017","The City Ground","Newcastle","Leicester",0.41,0.32,0.27,2.44,3.12,3.7
"155",158,16,"09-12-2017","Tottenham Hotspur Stadium","Swansea","West Brom",0.46,0.29,0.25,2.17,3.45,4
"156",159,16,"09-12-2017","London Stadium","Tottenham","Spurs",0.38,0.3,0.32,2.63,3.33,3.12
"157",156,16,"09-12-2017","St. James' Park","West Ham","Chelsea",0.34,0.38,0.28,2.94,2.63,3.57
"158",160,16,"10-12-2017","Molineux Stadium","Liverpool","Everton",0.36,0.27,0.37,2.78,3.7,2.7
"159",152,16,"10-12-2017","Amex Stadium","Man United","Man City",0.36,0.32,0.31,2.78,3.12,3.23
"160",153,16,"10-12-2017","Craven Cottage","Southampton","Arsenal",0.32,0.35,0.33,3.12,2.86,3.03
"161",163,17,"12-12-2017","Brentford Community Stadium","Burnley","Spurs",0.38,0.25,0.38,2.63,4,2.63
"162",165,17,"12-12-2017","Selhurst Park","Crystal Palace","Watford",0.42,0.33,0.25,2.38,3.03,4
"163",166,17,"12-12-2017","Goodison Park","Huddersfield","Chelsea",0.25,0.5,0.25,4,2,4
"164",168,17,"13-12-2017","King Power Stadium","Liverpool","West Brom",0.42,0.29,0.29,2.38,3.45,3.45
"165",170,17,"13-12-2017","St. Mary's Stadium","Man United","Bournemouth",0.42,0.25,0.33,2.38,4,3.03
"166",162,17,"13-12-2017","Villa Park","Newcastle","Everton",0.38,0.33,0.29,2.63,3.03,3.45
"167",161,17,"13-12-2017","Emirates Stadium","Southampton","Leicester",0.35,0.29,0.35,2.86,3.45,2.86
"168",164,17,"13-12-2017","Stamford Bridge","Swansea","Man City",0.29,0.39,0.32,3.45,2.56,3.12
"169",169,17,"13-12-2017","Old Trafford","Tottenham","Brighton",0.5,0.25,0.25,2,4,4
"170",167,17,"13-12-2017","Elland Road","West Ham","Arsenal",0.27,0.39,0.34,3.7,2.56,2.94
