"","Match.Number","Round.Number","Date","Location","HomeTeam","AwayTeam","homeWinPct","awayWinPct","homeDrawPct","homeOdds","awayOdds","drawOdds"
"244",244,25,"31-01-2018","Craven Cottage","Chelsea","Bournemouth",0.33,0.42,0.25,3.03,2.38,4
"245",245,25,"31-01-2018","Elland Road","Everton","Leicester",0.33,0.27,0.4,3.03,3.7,2.5
"246",246,25,"31-01-2018","King Power Stadium","Man City","West Brom",0.44,0.27,0.29,2.27,3.7,3.45
"247",247,25,"31-01-2018","Old Trafford","Newcastle","Burnley",0.25,0.25,0.5,4,4,2
"248",248,25,"31-01-2018","St. James' Park","Southampton","Brighton",0.25,0.25,0.5,4,4,2
"249",249,25,"31-01-2018","Tottenham Hotspur Stadium","Spurs","Watford",0.33,0.33,0.33,3.03,3.03,3.03
"250",250,25,"31-01-2018","London Stadium","Tottenham","Man United",0.31,0.37,0.32,3.23,2.7,3.12
"251",251,26,"03-02-2018","Emirates Stadium","Arsenal","Everton",0.44,0.26,0.3,2.27,3.85,3.33
"252",252,26,"03-02-2018","Villa Park","Bournemouth","Spurs",0.33,0.33,0.33,3.03,3.03,3.03
"253",253,26,"03-02-2018","Brentford Community Stadium","Brighton","West Ham",0.5,0.25,0.25,2,4,4
"254",254,26,"03-02-2018","Amex Stadium","Burnley","Man City",0.31,0.38,0.31,3.23,2.63,3.23
"255",255,26,"03-02-2018","Stamford Bridge","Leicester","Swansea",0.44,0.25,0.31,2.27,4,3.23
"256",256,26,"03-02-2018","Anfield","Man United","Huddersfield",0.5,0.25,0.25,2,4,4
"257",257,26,"03-02-2018","Etihad Stadium","West Brom","Southampton",0.34,0.34,0.31,2.94,2.94,3.23
"258",258,26,"04-02-2018","The City Ground","Crystal Palace","Newcastle",0.29,0.39,0.32,3.45,2.56,3.12
"259",259,26,"04-02-2018","St. Mary's Stadium","Liverpool","Tottenham",0.4,0.27,0.33,2.5,3.7,3.03
"260",260,26,"05-02-2018","Molineux Stadium","Watford","Chelsea",0.35,0.35,0.3,2.86,2.86,3.33
"261",261,27,"10-02-2018","Vitality Stadium","Everton","Crystal Palace",0.34,0.34,0.31,2.94,2.94,3.23
"262",262,27,"10-02-2018","Selhurst Park","Man City","Leicester",0.36,0.39,0.25,2.78,2.56,4
"263",263,27,"10-02-2018","Goodison Park","Spurs","Brighton",0.25,0.25,0.5,4,4,2
"264",264,27,"10-02-2018","Craven Cottage","Swansea","Burnley",0.5,0.25,0.25,2,4,4
"265",265,27,"10-02-2018","Elland Road","Tottenham","Arsenal",0.34,0.3,0.36,2.94,3.33,2.78
"266",266,27,"10-02-2018","King Power Stadium","West Ham","Watford",0.4,0.35,0.25,2.5,2.86,4
"267",267,27,"11-02-2018","Old Trafford","Huddersfield","Bournemouth",0.5,0.25,0.25,2,4,4
"268",268,27,"11-02-2018","St. James' Park","Newcastle","Man United",0.3,0.38,0.32,3.33,2.63,3.12
"269",269,27,"11-02-2018","Tottenham Hotspur Stadium","Southampton","Liverpool",0.33,0.36,0.31,3.03,2.78,3.23
"270",270,27,"12-02-2018","London Stadium","Chelsea","West Brom",0.46,0.25,0.29,2.17,4,3.45
"271",271,28,"24-02-2018","Emirates Stadium","Bournemouth","Newcastle",0.25,0.38,0.38,4,2.63,2.63
"272",272,28,"24-02-2018","Villa Park","Brighton","Swansea",0.5,0.25,0.25,2,4,4
"273",273,28,"24-02-2018","Brentford Community Stadium","Burnley","Southampton",0.42,0.25,0.33,2.38,4,3.03
"274",274,28,"24-02-2018","Amex Stadium","Leicester","Spurs",0.38,0.31,0.31,2.63,3.23,3.23
"275",275,28,"24-02-2018","Stamford Bridge","Liverpool","West Ham",0.42,0.26,0.32,2.38,3.85,3.12
"276",276,28,"24-02-2018","Anfield","Watford","Everton",0.35,0.35,0.3,2.86,2.86,3.33
"277",277,28,"24-02-2018","Etihad Stadium","West Brom","Huddersfield",0.25,0.5,0.25,4,2,4
"278",278,28,"25-02-2018","The City Ground","Crystal Palace","Tottenham",0.31,0.41,0.28,3.23,2.44,3.57
"279",279,28,"25-02-2018","St. Mary's Stadium","Man United","Chelsea",0.34,0.31,0.35,2.94,3.23,2.86
"280",280,28,"01-03-2018","Molineux Stadium","Arsenal","Man City",0.39,0.28,0.34,2.56,3.57,2.94
"281",281,29,"03-03-2018","Vitality Stadium","Burnley","Everton",0.44,0.31,0.25,2.27,3.23,4
"282",282,29,"03-03-2018","Emirates Stadium","Leicester","Bournemouth",0.25,0.25,0.5,4,4,2
"283",283,29,"03-03-2018","Amex Stadium","Liverpool","Newcastle",0.45,0.26,0.29,2.22,3.85,3.45
"284",284,29,"03-03-2018","Stamford Bridge","Southampton","Spurs",0.29,0.33,0.38,3.45,3.03,2.63
"285",285,29,"03-03-2018","Selhurst Park","Swansea","West Ham",0.33,0.29,0.38,3.03,3.45,2.63
"286",286,29,"03-03-2018","Goodison Park","Tottenham","Huddersfield",0.5,0.25,0.25,2,4,4
"287",287,29,"03-03-2018","Etihad Stadium","Watford","West Brom",0.42,0.25,0.33,2.38,4,3.03
"288",288,29,"04-03-2018","St. James' Park","Brighton","Arsenal",0.5,0.25,0.25,2,4,4
"289",289,29,"04-03-2018","The City Ground","Man City","Chelsea",0.34,0.39,0.28,2.94,2.56,3.57
"290",290,29,"05-03-2018","London Stadium","Crystal Palace","Man United",0.25,0.41,0.34,4,2.44,2.94
"291",291,30,"10-03-2018","Villa Park","Chelsea","Crystal Palace",0.41,0.31,0.28,2.44,3.23,3.57
"292",292,30,"10-03-2018","Brentford Community Stadium","Everton","Brighton",0.5,0.25,0.25,2,4,4
"293",293,30,"10-03-2018","Craven Cottage","Huddersfield","Swansea",0.25,0.25,0.5,4,4,2
"294",294,30,"10-03-2018","Elland Road","Man United","Liverpool",0.41,0.3,0.29,2.44,3.33,3.45
"295",295,30,"10-03-2018","King Power Stadium","Newcastle","Southampton",0.41,0.29,0.29,2.44,3.45,3.45
"296",296,30,"10-03-2018","Anfield","West Brom","Leicester",0.25,0.5,0.25,4,2,4
"297",297,30,"10-03-2018","Old Trafford","West Ham","Burnley",0.44,0.31,0.25,2.27,3.23,4
"298",298,30,"11-03-2018","St. Mary's Stadium","Arsenal","Watford",0.45,0.3,0.25,2.22,3.33,4
"299",299,30,"11-03-2018","Tottenham Hotspur Stadium","Bournemouth","Tottenham",0.25,0.42,0.33,4,2.38,3.03
"300",300,30,"12-03-2018","Molineux Stadium","Spurs","Man City",0.3,0.32,0.38,3.33,3.12,2.63
"301",301,31,"17-03-2018","Villa Park","Bournemouth","West Brom",0.42,0.25,0.33,2.38,4,3.03
"302",302,31,"17-03-2018","Stamford Bridge","Huddersfield","Crystal Palace",0.25,0.5,0.25,4,2,4
"303",303,31,"17-03-2018","Goodison Park","Liverpool","Watford",0.45,0.3,0.25,2.22,3.33,4
"304",304,31,"17-03-2018","Elland Road","Spurs","Everton",0.3,0.32,0.38,3.33,3.12,2.63
"305",305,31,"31-03-2018","Etihad Stadium","Brighton","Leicester",0.25,0.5,0.25,4,2,4
"306",306,31,"31-03-2018","The City Ground","Crystal Palace","Liverpool",0.31,0.41,0.28,3.23,2.44,3.57
"307",307,31,"31-03-2018","St. Mary's Stadium","Everton","Man City",0.39,0.3,0.31,2.56,3.33,3.23
"308",308,31,"31-03-2018","Tottenham Hotspur Stadium","Man United","Swansea",0.43,0.29,0.29,2.33,3.45,3.45
"309",309,31,"31-03-2018","London Stadium","Newcastle","Huddersfield",0.5,0.25,0.25,2,4,4
"310",310,31,"31-03-2018","Molineux Stadium","Watford","Bournemouth",0.25,0.25,0.5,4,4,2
"311",311,32,"31-03-2018","Vitality Stadium","West Brom","Burnley",0.42,0.33,0.25,2.38,3.03,4
"312",312,32,"31-03-2018","Emirates Stadium","West Ham","Southampton",0.42,0.31,0.27,2.38,3.23,3.7
"313",313,32,"01-04-2018","Brentford Community Stadium","Arsenal","Spurs",0.5,0.25,0.25,2,4,4
"314",314,32,"01-04-2018","Amex Stadium","Chelsea","Tottenham",0.41,0.26,0.33,2.44,3.85,3.03
"315",315,32,"07-04-2018","Selhurst Park","Bournemouth","Crystal Palace",0.25,0.33,0.42,4,3.03,2.38
"316",316,32,"07-04-2018","Craven Cottage","Brighton","Huddersfield",0.25,0.25,0.5,4,4,2
"317",317,32,"07-04-2018","King Power Stadium","Everton","Liverpool",0.31,0.35,0.34,3.23,2.86,2.94
"318",318,32,"07-04-2018","Anfield","Leicester","Newcastle",0.34,0.32,0.34,2.94,3.12,2.94
"319",319,32,"07-04-2018","Old Trafford","Man City","Man United",0.34,0.39,0.28,2.94,2.56,3.57
"320",320,32,"07-04-2018","St. James' Park","Spurs","Tottenham",0.32,0.42,0.25,3.12,2.38,4
"321",321,33,"07-04-2018","Goodison Park","Watford","Burnley",0.38,0.38,0.25,2.63,2.63,4
"322",322,33,"07-04-2018","Elland Road","West Brom","Swansea",0.36,0.32,0.32,2.78,3.12,3.12
"323",323,33,"08-04-2018","The City Ground","Arsenal","Southampton",0.43,0.25,0.32,2.33,4,3.12
"324",324,33,"08-04-2018","Tottenham Hotspur Stadium","Chelsea","West Ham",0.4,0.3,0.31,2.5,3.33,3.23
"325",325,33,"14-04-2018","London Stadium","Burnley","Leicester",0.42,0.33,0.25,2.38,3.03,4
"326",326,33,"14-04-2018","Molineux Stadium","Crystal Palace","Brighton",0.5,0.25,0.25,2,4,4
"327",327,33,"14-04-2018","Villa Park","Huddersfield","Watford",0.5,0.25,0.25,2,4,4
"328",328,33,"14-04-2018","Stamford Bridge","Liverpool","Bournemouth",0.42,0.25,0.33,2.38,4,3.03
"329",329,33,"14-04-2018","St. Mary's Stadium","Southampton","Chelsea",0.31,0.4,0.29,3.23,2.5,3.45
"330",330,33,"14-04-2018","Etihad Stadium","Swansea","Everton",0.29,0.36,0.36,3.45,2.78,2.78
"331",331,34,"14-04-2018","Vitality Stadium","Tottenham","Man City",0.4,0.31,0.29,2.5,3.23,3.45
"332",332,34,"15-04-2018","Emirates Stadium","Man United","West Brom",0.38,0.31,0.31,2.63,3.23,3.23
"333",333,34,"15-04-2018","Brentford Community Stadium","Newcastle","Arsenal",0.32,0.35,0.34,3.12,2.86,2.94
"334",334,34,"16-04-2018","Amex Stadium","West Ham","Spurs",0.31,0.31,0.39,3.23,3.23,2.56
"335",335,34,"17-04-2018","Selhurst Park","Brighton","Tottenham",0.25,0.25,0.5,4,4,2
"336",336,34,"18-04-2018","Craven Cottage","Bournemouth","Man United",0.33,0.42,0.25,3.03,2.38,4
"337",337,34,"19-04-2018","King Power Stadium","Burnley","Chelsea",0.25,0.44,0.31,4,2.27,3.23
"338",338,34,"19-04-2018","Anfield","Leicester","Southampton",0.4,0.27,0.33,2.5,3.7,3.03
"339",339,34,"21-04-2018","Old Trafford","Watford","Crystal Palace",0.25,0.33,0.42,4,3.03,2.38
"340",340,34,"21-04-2018","St. James' Park","West Brom","Liverpool",0.29,0.38,0.33,3.45,2.63,3.03
"341",341,35,"22-04-2018","Vitality Stadium","Arsenal","West Ham",0.43,0.31,0.26,2.33,3.23,3.85
"342",342,35,"22-04-2018","Amex Stadium","Man City","Swansea",0.5,0.25,0.25,2,4,4
"343",343,35,"22-04-2018","Craven Cottage","Spurs","Burnley",0.38,0.31,0.31,2.63,3.23,3.23
"344",344,35,"23-04-2018","Anfield","Everton","Newcastle",0.39,0.3,0.3,2.56,3.33,3.33
"345",345,35,"28-04-2018","Etihad Stadium","Burnley","Brighton",0.25,0.25,0.5,4,4,2
"346",346,35,"28-04-2018","St. James' Park","Crystal Palace","Leicester",0.38,0.33,0.29,2.63,3.03,3.45
"347",347,35,"28-04-2018","The City Ground","Huddersfield","Everton",0.25,0.5,0.25,4,2,4
"348",348,35,"28-04-2018","Tottenham Hotspur Stadium","Liverpool","Spurs",0.4,0.25,0.35,2.5,4,2.86
"349",349,35,"28-04-2018","London Stadium","Newcastle","West Brom",0.41,0.3,0.3,2.44,3.33,3.33
"350",350,35,"28-04-2018","Molineux Stadium","Southampton","Bournemouth",0.42,0.25,0.33,2.38,4,3.03
"351",351,36,"28-04-2018","Emirates Stadium","Swansea","Chelsea",0.29,0.36,0.36,3.45,2.78,2.78
"352",352,36,"29-04-2018","Villa Park","Man United","Arsenal",0.41,0.28,0.31,2.44,3.57,3.23
"353",353,36,"29-04-2018","Brentford Community Stadium","West Ham","Man City",0.35,0.34,0.31,2.86,2.94,3.23
"354",354,36,"30-04-2018","Stamford Bridge","Tottenham","Watford",0.5,0.25,0.25,2,4,4
"355",355,36,"04-05-2018","Selhurst Park","Brighton","Man United",0.5,0.25,0.25,2,4,4
"356",356,36,"05-05-2018","Goodison Park","Bournemouth","Swansea",0.5,0.25,0.25,2,4,4
"357",357,36,"05-05-2018","Elland Road","Everton","Southampton",0.42,0.26,0.32,2.38,3.85,3.12
"358",358,36,"05-05-2018","King Power Stadium","Leicester","West Ham",0.34,0.34,0.32,2.94,2.94,3.12
"359",359,36,"05-05-2018","Old Trafford","Spurs","Crystal Palace",0.35,0.4,0.25,2.86,2.5,4
"360",360,36,"05-05-2018","St. Mary's Stadium","Watford","Newcastle",0.38,0.25,0.38,2.63,4,2.63
"361",361,37,"05-05-2018","Vitality Stadium","West Brom","Tottenham",0.31,0.33,0.35,3.23,3.03,2.86
"362",362,37,"06-05-2018","Amex Stadium","Arsenal","Burnley",0.5,0.25,0.25,2,4,4
"363",363,37,"06-05-2018","Craven Cottage","Chelsea","Liverpool",0.39,0.31,0.3,2.56,3.23,3.33
"364",364,37,"06-05-2018","Anfield","Man City","Huddersfield",0.25,0.25,0.5,4,4,2
"365",365,37,"08-05-2018","Etihad Stadium","Swansea","Southampton",0.29,0.42,0.29,3.45,2.38,3.45
"366",366,37,"09-05-2018","St. James' Park","Chelsea","Huddersfield",0.25,0.25,0.5,4,4,2
"367",367,37,"09-05-2018","The City Ground","Leicester","Arsenal",0.29,0.33,0.38,3.45,3.03,2.63
"368",368,37,"09-05-2018","Tottenham Hotspur Stadium","Man City","Brighton",0.5,0.25,0.25,2,4,4
"369",369,37,"09-05-2018","London Stadium","Tottenham","Newcastle",0.39,0.35,0.26,2.56,2.86,3.85
"370",370,37,"10-05-2018","Molineux Stadium","West Ham","Man United",0.28,0.35,0.36,3.57,2.86,2.78
"371",371,38,"13-05-2018","Emirates Stadium","Burnley","Bournemouth",0.38,0.38,0.25,2.63,2.63,4
"372",372,38,"13-05-2018","Villa Park","Crystal Palace","West Brom",0.42,0.33,0.25,2.38,3.03,4
"373",373,38,"13-05-2018","Brentford Community Stadium","Huddersfield","Arsenal",0.25,0.5,0.25,4,2,4
"374",374,38,"13-05-2018","Stamford Bridge","Liverpool","Brighton",0.5,0.25,0.25,2,4,4
"375",375,38,"13-05-2018","Selhurst Park","Man United","Watford",0.5,0.25,0.25,2,4,4
"376",376,38,"13-05-2018","Goodison Park","Newcastle","Chelsea",0.37,0.32,0.32,2.7,3.12,3.12
"377",377,38,"13-05-2018","Elland Road","Southampton","Man City",0.31,0.37,0.33,3.23,2.7,3.03
"378",378,38,"13-05-2018","King Power Stadium","Swansea","Spurs",0.39,0.32,0.29,2.56,3.12,3.45
"379",379,38,"13-05-2018","Old Trafford","Tottenham","Leicester",0.35,0.33,0.31,2.86,3.03,3.23
"380",380,38,"13-05-2018","St. Mary's Stadium","West Ham","Everton",0.31,0.36,0.33,3.23,2.78,3.03
